RotationX,RotationY,RotationZ,PositionX,PositionY,PositionZ,Button Pressed,Frame,TimeFromStart,TimeInTrial,Block,Trial,Scene,Condition,IsTrial,IsWait
-0.09029165,-0.4239081,-0.4118146,0.1233206,0.9320942,0.2029288,0,2706,0.02,0,-1,-20,Begin 1,0,0,1
-0.09117303,-0.4235751,-0.4121251,0.1233206,0.9320942,0.2029288,0,2707,0.04,0,-1,-20,Begin 1,0,0,1
-0.09117303,-0.4235751,-0.4121251,0.1233206,0.9320942,0.2029288,0,2707,0.06,0,-1,-20,Begin 1,0,0,1
-0.09137678,-0.4236192,-0.4120771,0.1233206,0.9320942,0.2029288,0,2708,0.08,0,-1,-20,Begin 1,0,0,1
-0.09137678,-0.4236192,-0.4120771,0.1233206,0.9320942,0.2029288,0,2708,0.09999999,0,-1,-20,Begin 1,0,0,1
-0.09137678,-0.4236192,-0.4120771,0.1233206,0.9320942,0.2029288,0,2708,0.12,0,-1,-20,Begin 1,0,0,1
-0.09137678,-0.4236192,-0.4120771,0.1233206,0.9320942,0.2029288,0,2708,0.14,0,-1,-20,Begin 1,0,0,1
-0.09137678,-0.4236192,-0.4120771,0.1233206,0.9320942,0.2029288,0,2708,0.16,0,-1,-20,Begin 1,0,0,1
-0.09153218,-0.4262319,-0.4114698,0.1233206,0.9320942,0.2029288,0,2709,0.18,0,-1,-20,Begin 1,0,0,1
-0.09153218,-0.4262319,-0.4114698,0.1233206,0.9320942,0.2029288,0,2709,0.2,0,-1,-20,Begin 1,0,0,1
-0.09153218,-0.4262319,-0.4114698,0.1233206,0.9320942,0.2029288,0,2709,0.22,0,-1,-20,Begin 1,0,0,1
-0.09153218,-0.4262319,-0.4114698,0.1233206,0.9320942,0.2029288,0,2709,0.24,0,-1,-20,Begin 1,0,0,1
-0.09153218,-0.4262319,-0.4114698,0.1233206,0.9320942,0.2029288,0,2709,0.26,0,-1,-20,Begin 1,0,0,1
-0.09127386,-0.4262305,-0.4101859,0.1233206,0.9320942,0.2029288,0,2710,0.28,0,-1,-20,Begin 1,0,0,1
-0.09127386,-0.4262305,-0.4101859,0.1233206,0.9320942,0.2029288,0,2710,0.3,0,-1,-20,Begin 1,0,0,1
-0.09127386,-0.4262305,-0.4101859,0.1233206,0.9320942,0.2029288,0,2710,0.32,0,-1,-20,Begin 1,0,0,1
-0.09127386,-0.4262305,-0.4101859,0.1233206,0.9320942,0.2029288,0,2710,0.34,0,-1,-20,Begin 1,0,0,1
-0.09127386,-0.4262305,-0.4101859,0.1233206,0.9320942,0.2029288,0,2710,0.36,0,-1,-20,Begin 1,0,0,1
-0.0868311,-0.4269157,-0.4099177,0.1233206,0.9320942,0.2029288,0,2711,0.38,0,-1,-20,Begin 1,0,0,1
-0.0868311,-0.4269157,-0.4099177,0.1233206,0.9320942,0.2029288,0,2711,0.4,0,-1,-20,Begin 1,0,0,1
-0.0868311,-0.4269157,-0.4099177,0.1233206,0.9320942,0.2029288,0,2711,0.42,0,-1,-20,Begin 1,0,0,1
-0.0868311,-0.4269157,-0.4099177,0.1233206,0.9320942,0.2029288,0,2711,0.4400001,0,-1,-20,Begin 1,0,0,1
-0.08970112,-0.4204229,-0.3982691,0.1233206,0.9320942,0.2029288,0,2712,0.4600001,0,-1,-20,Begin 1,0,0,1
-0.08970112,-0.4204229,-0.3982691,0.1233206,0.9320942,0.2029288,0,2712,0.4800001,0,-1,-20,Begin 1,0,0,1
-0.08970112,-0.4204229,-0.3982691,0.1233206,0.9320942,0.2029288,0,2712,0.5000001,0,-1,-20,Begin 1,0,0,1
-0.08970112,-0.4204229,-0.3982691,0.1233206,0.9320942,0.2029288,0,2712,0.52,0,-1,-20,Begin 1,0,0,1
