RotationX,RotationY,RotationZ,PositionX,PositionY,PositionZ,Frame,TimeFromStart,TimeInTrial,Block,Trial,Scene,Condition,IsTrial,IsWait
0,0,0,0,0.01,0,5776,0.02,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5777,0.04,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5778,0.06,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5779,0.08,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5781,0.09999999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5782,0.12,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5784,0.14,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5785,0.16,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5787,0.18,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5789,0.2,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5790,0.22,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5791,0.24,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5792,0.26,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5794,0.28,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5795,0.3,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5797,0.32,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5799,0.34,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5801,0.36,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5802,0.38,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5804,0.4,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5806,0.42,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5807,0.4400001,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5809,0.4600001,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5810,0.4800001,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5812,0.5000001,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5814,0.52,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5816,0.54,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5817,0.56,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5819,0.58,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5821,0.6,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5823,0.6199999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5824,0.6399999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5825,0.6599999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5827,0.6799999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5828,0.6999999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5830,0.7199998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5831,0.7399998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5833,0.7599998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5834,0.7799998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5836,0.7999998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5837,0.8199998,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5839,0.8399997,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5840,0.8599997,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5842,0.8799997,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5843,0.8999997,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5844,0.9199997,0,-1,-20,Begin 1,0,0,1
